pmid,contrast_id,contrast_label,contrast_type,contrast_category,method_category,arm_1,arm_2,analysis_method,analysis_scope,direction,n_subjects,disease_condition,title
34431029,nc_tHb_TG_vs_CG,Resting-state FC in total hemoglobin: TG significantly stronger than CG,"between-group comparison of resting-state functional connectivity (post-treatment), TG > CG",group_comparison,roi_fc,arm_TG,arm_CG,Two sample t-test with False Discovery Rate (FDR) correction; one-tailed t-test: HA: μ > CG; H0: μ ≤ CG,ROI,TG > CG; positive correlations in all significant pairs (no pairs in CG significantly stronger than TG),20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,nc_rsFC_correlation_clinical,Correlation between rsFC changes and depression severity (HAMD-17/PHQ-9),correlation between neural and clinical outcomes,correlation_clinical,correlation_brain_behavior,not_applicable,not_applicable,not_reported,ROI,not_significant,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,nc_OHb_HHb_hemodynamic_demand,Hemodynamic changes and severity of depression - between group comparison,between-group comparison of OHb and HHb resting-state demands pre- and post-treatment,group_comparison,roi_fc,arm_TG,arm_CG,not_reported,ROI,not_significant,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C1,ALFF real KI3 > sham KI3 (increased),ALFF,verum_gt_sham,whole_brain_activation,26467429_KI3_real,26467429_KI3_sham,ALFF,whole_brain,increase,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C2,ALFF real KI3 < sham KI3 (decreased),ALFF,deactivation,whole_brain_activation,26467429_KI3_sham,26467429_KI3_real,ALFF,whole_brain,decrease,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C3,ReHo real KI3 > sham KI3 (increased),ReHo,verum_gt_sham,whole_brain_activation,26467429_KI3_real,26467429_KI3_sham,ReHo,whole_brain,increase,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C4,ReHo real KI3 < sham KI3 (decreased),ReHo,deactivation,whole_brain_activation,26467429_KI3_sham,26467429_KI3_real,ReHo,whole_brain,decrease,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C5,ALFF post-KI3 > pre-KI3 (increased),ALFF,verum_post_gt_pre,whole_brain_activation,26467429_KI3_real,26467429_baseline_KI3,ALFF,whole_brain,increase,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C6,ReHo post-KI3 > pre-KI3 (increased),ReHo,verum_post_gt_pre,whole_brain_activation,26467429_KI3_real,26467429_baseline_KI3,ReHo,whole_brain,increase,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C7,ReHo post-KI3 < pre-KI3 (decreased),ReHo,deactivation,whole_brain_activation,26467429_baseline_KI3,26467429_KI3_real,ReHo,whole_brain,decrease,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C8,ALFF post-nonacupoint > pre-nonacupoint (increased),ALFF,sham_post_gt_pre,whole_brain_activation,26467429_nonacupoint_real,26467429_baseline_nonacupoint,ALFF,whole_brain,increase,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C9,ALFF post-nonacupoint < pre-nonacupoint (decreased),ALFF,deactivation,whole_brain_activation,26467429_baseline_nonacupoint,26467429_nonacupoint_real,ALFF,whole_brain,decrease,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C10,ReHo post-nonacupoint > pre-nonacupoint (increased),ReHo,sham_post_gt_pre,whole_brain_activation,26467429_nonacupoint_real,26467429_baseline_nonacupoint,ReHo,whole_brain,increase,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C11,ReHo post-nonacupoint < pre-nonacupoint (decreased),ReHo,deactivation,whole_brain_activation,26467429_baseline_nonacupoint,26467429_nonacupoint_real,ReHo,whole_brain,decrease,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C12,ALFF change KI3 > change non-acupoint (increased),ALFF,verum_gt_sham,whole_brain_activation,26467429_KI3_real,26467429_nonacupoint_real,ALFF,whole_brain,increase,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C13,ALFF change KI3 < change non-acupoint (decreased),ALFF,deactivation,whole_brain_activation,26467429_nonacupoint_real,26467429_KI3_real,ALFF,whole_brain,decrease,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C14,ReHo change KI3 > change non-acupoint (increased),ReHo,verum_gt_sham,whole_brain_activation,26467429_KI3_real,26467429_nonacupoint_real,ReHo,whole_brain,increase,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34431029,26467429_C15,ReHo change KI3 < change non-acupoint (decreased),ReHo,deactivation,whole_brain_activation,26467429_nonacupoint_real,26467429_KI3_real,ReHo,whole_brain,decrease,20,Depression (DSM-V criteria),Antidepressant Monotherapy and Combination Therapy with Acupuncture in Depressed Patients: A Resting-State Functional Near-Infrared Spectroscopy (fNIRS) Study
34483822,contrast_hbo_power_acup_vs_allcontrols,Acupuncture manipulation vs. all controls (combining four control groups) - HbO power,acupuncture manipulation vs. all controls,verum_gt_sham,whole_brain_activation,arm_acupuncture,not_applicable,Two-sample t-tests on HbO power data between acupuncture manipulation and all controls for each channel; FDR correction for multiple comparisons,whole_brain,decreased (acupuncture manipulation < all controls),17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_hbo_power_tactile_vs_rest,Tactile controls (combining two tactile controls) vs. rest controls (combining two rest controls) - HbO power,tactile controls vs. rest controls,sham_gt_rest,whole_brain_activation,arm_acupuncture,not_applicable,Two-sample t-tests on HbO power data; FDR correction for multiple comparisons,whole_brain,no significant difference found,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_hbo_power_anova_typical_channel,One-way ANOVA of HbO power across five conditions - typical PFC channel,one-way ANOVA across five conditions with post-hoc pairwise comparisons,verum_gt_sham,whole_brain_activation,arm_acupuncture,not_applicable,One-way ANOVA on HbO power data; post-hoc t-tests with FDR correction for multiple comparisons,ROI,decreased (acupuncture manipulation significantly smaller than all four controls),17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_fc_region_acup_vs_allcontrols,Region-to-region functional connectivity: acupuncture manipulation vs. all controls,acupuncture manipulation vs. all controls (four controls combined),verum_gt_sham,roi_fc,arm_acupuncture,not_applicable,"Pearson's correlation coefficients of HbO time series; permutation test (1000-times, channel pairs' corresponding epochs shuffled randomly); Fisher r-to-z transformation; paired t-tests for group-level comparisons; FDR correction",ROI,increased functional connectivity during acupuncture manipulation,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_fc_pfc_motor_group,PFC-Motor functional connectivity: acupuncture manipulation vs. all controls,within region-pair comparison,verum_gt_sham,roi_fc,arm_acupuncture,not_applicable,Paired t-tests on subject level channel-to-channel functional connectivity data within PFC-Motor region pair across all subjects,ROI,significantly higher functional connectivity strength under acupuncture manipulation,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_fc_pfc_pfc_group,PFC-PFC functional connectivity: acupuncture manipulation vs. all controls,within region-pair comparison,verum_gt_sham,roi_fc,arm_acupuncture,not_applicable,Paired t-tests on subject level channel-to-channel functional connectivity data within PFC-PFC region pair across all subjects,ROI,significantly higher functional connectivity strength under acupuncture manipulation,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_fc_motor_motor_group,Motor-Motor functional connectivity: acupuncture manipulation vs. all controls,within region-pair comparison,verum_gt_sham,roi_fc,arm_acupuncture,not_applicable,Paired t-tests on subject level channel-to-channel functional connectivity data within Motor-Motor region pair across all subjects,ROI,no significant difference,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_graph_shortest_path,Shortest path length: acupuncture manipulation vs. all controls,acupuncture manipulation vs. all controls - graph theory metric,verum_gt_sham,graph_theory,arm_acupuncture,not_applicable,"Graph theory analysis using GRETNA toolbox; correlation coefficients matrix thresholded over sparsity range [0.1, 0.9] with step-size 0.05; paired t-tests across subjects",network,significantly lower shortest path length during acupuncture manipulation within 0.4–0.5 sparsity range,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_graph_global_efficiency,Global efficiency: acupuncture manipulation vs. all controls,acupuncture manipulation vs. all controls - graph theory metric,verum_gt_sham,graph_theory,arm_acupuncture,not_applicable,"Graph theory analysis using GRETNA toolbox; correlation coefficients matrix thresholded over sparsity range [0.1, 0.9] with step-size 0.05; paired t-tests across subjects",network,significantly higher global efficiency during acupuncture manipulation within 0.35–0.55 sparsity range,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_graph_local_efficiency_clustering_smallworld,"Local efficiency, clustering coefficient, small-world: acupuncture manipulation vs. all controls",acupuncture manipulation vs. all controls - graph theory metrics,verum_gt_sham,graph_theory,arm_acupuncture,not_applicable,Graph theory analysis using GRETNA toolbox,network,no significant difference,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_correlation_pfc_deqi,Correlation between PFC HbO power change and acupuncture deqi behavioral index,Pearson's correlation between neural and behavioral measure,correlation_deqi,correlation_brain_behavior,arm_acupuncture,not_applicable,Pearson's correlation and linear regression between deqi behavior data and HbO power change (acupuncture manipulation – all controls) for acupuncture significant responsive channels from PFC,ROI,positive correlation trend,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,contrast_correlation_motor_deqi,Correlation between motor cortex HbO power change and acupuncture deqi behavioral index,Pearson's correlation between neural and behavioral measure,correlation_deqi,correlation_brain_behavior,arm_acupuncture,not_applicable,Pearson's correlation and linear regression between deqi behavior data and HbO power change (acupuncture manipulation – all controls) for acupuncture significant responsive channels from motor cortex,ROI,no significant correlation,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34483822,34408621_C1,The MNI coordination and Brodmann label of each channel,other,other,other,fNIRS channel locations,,other,whole_brain,,17,Healthy volunteers,Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network
34671239,C1_baseline_ALFF_SDS_corr,Correlation between ALFF value in right precuneus and SDS in MMoA patients at baseline,Positive correlation between ALFF and SDS scores,correlation_clinical,correlation_brain_behavior,not_applicable,not_applicable,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",whole_brain,Positive correlation,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C2_baseline_ALFF_VAS_corr,Correlation between ALFF value in right middle temporal gyrus and VAS in MMoA patients at baseline,Negative correlation between ALFF and VAS scores,correlation_clinical,correlation_brain_behavior,not_applicable,not_applicable,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",whole_brain,Negative correlation,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C3_TA_post_pre_ALFF_increase,ALFF increases in MMoA patients after true acupuncture treatment (post vs. pre),Within-group post-treatment minus pre-treatment increase in ALFF,verum_post_gt_pre,whole_brain_activation,TA,not_applicable,Paired t-test on ALFF differences (post-treatment minus pre-treatment),whole_brain,Increase (post > pre),50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C4_TA_post_pre_ALFF_decrease,ALFF decreases in MMoA patients after true acupuncture treatment (post vs. pre),Within-group post-treatment minus pre-treatment decrease in ALFF,deactivation,whole_brain_activation,TA,not_applicable,Paired t-test on ALFF differences (post-treatment minus pre-treatment),whole_brain,Decrease (post < pre),50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C5_TA_post_pre_ReHo_increase,ReHo increases in MMoA patients after true acupuncture treatment (post vs. pre),Within-group post-treatment minus pre-treatment increase in ReHo,verum_post_gt_pre,whole_brain_activation,TA,not_applicable,Paired t-test on ReHo differences (post-treatment minus pre-treatment),whole_brain,Increase (post > pre),50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C6_TA_post_pre_ReHo_decrease,ReHo decreases in MMoA patients after true acupuncture treatment (post vs. pre),Within-group post-treatment minus pre-treatment decrease in ReHo,deactivation,whole_brain_activation,TA,not_applicable,Paired t-test on ReHo differences (post-treatment minus pre-treatment),whole_brain,Decrease (post < pre),50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C7_SA_post_pre_ALFF_increase,ALFF increases in MMoA patients after sham acupuncture treatment (post vs. pre),Within-group post-treatment minus pre-treatment increase in ALFF,sham_post_gt_pre,whole_brain_activation,SA,not_applicable,Paired t-test on ALFF differences (post-treatment minus pre-treatment),whole_brain,Increase (post > pre),50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C8_SA_post_pre_ReHo_increase,ReHo increases in MMoA patients after sham acupuncture treatment (post vs. pre),Within-group post-treatment minus pre-treatment increase in ReHo,sham_post_gt_pre,whole_brain_activation,SA,not_applicable,Paired t-test on ReHo differences (post-treatment minus pre-treatment),whole_brain,Increase (post > pre),50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C9_TA_ACC_ALFF_SAS_corr,Correlation between altered ALFF values in left ACC and improvements in SAS scores in the TA group,Positive correlation between post-pre ALFF change in left ACC and decrease in SAS scores,correlation_clinical,correlation_brain_behavior,TA,not_applicable,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",whole_brain,Positive correlation,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C10_TA_ACC_ALFF_SDS_corr,Correlation between altered ALFF values in left ACC and improvements in SDS scores in the TA group,Positive correlation between post-pre ALFF change in left ACC and decrease in SDS scores,correlation_clinical,correlation_brain_behavior,TA,not_applicable,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",whole_brain,Positive correlation,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,C11_SA_no_brain_clinical_corr,No significant correlations observed between brain regions and clinical variables in the SA group,Null result: correlation between ALFF/ReHo changes and clinical variables in SA group,correlation_clinical,correlation_brain_behavior,SA,not_applicable,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",whole_brain,not_applicable (null result),50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,34616269_C1,Baseline ALFF values in patients with MMoA,ALFF,correlation_clinical,correlation_brain_behavior,MMoA patients,rest,ALFF,whole_brain,correlation with clinical variables at baseline,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,34616269_C2,ALFF and ReHo changes in patients with MMoA after TA - ALFF,ALFF,verum_post_gt_pre,whole_brain_activation,post-TA treatment,pre-TA treatment,ALFF,whole_brain,post minus pre,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,34616269_C3,ALFF and ReHo changes in patients with MMoA after TA - ReHo,ReHo,verum_post_gt_pre,whole_brain_activation,post-TA treatment,pre-TA treatment,ReHo,whole_brain,post minus pre,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,34616269_C4,ALFF and ReHo changes in patients with MMoA after SA - ALFF,ALFF,sham_post_gt_pre,whole_brain_activation,post-SA treatment,pre-SA treatment,ALFF,whole_brain,post minus pre,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,34616269_C5,ALFF and ReHo changes in patients with MMoA after SA - ReHo,ReHo,sham_post_gt_pre,whole_brain_activation,post-SA treatment,pre-SA treatment,ReHo,whole_brain,post minus pre,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,34616274_C2,ALFF and ReHo changes in patients with MMoA after TA,ALFF,verum_post_gt_pre,whole_brain_activation,post-treatment (TA),pre-treatment (TA),ALFF,whole_brain,post minus pre,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,19501656_SR_C1,SA post-treatment vs pre-treatment (ALFF changes),ALFF,sham_post_gt_pre,whole_brain_activation,,,ALFF,,activation,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34671239,19501656_SR_C2,SA post-treatment vs pre-treatment (ReHo changes),ReHo,sham_post_gt_pre,whole_brain_activation,,,ReHo,,activation,50,Menstrual migraine without aura (MMoA),Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-State fMRI Study
34720908,nc_01,IBS-D patients after acupuncture vs HCs — increased AN-VAN,two-sample t-test: IBS-D after acupuncture > HCs,group_comparison,network_ica,arm_IBSD,arm_HC,ICA-based inter-network functional connectivity; Pearson's correlation coefficient; Fisher's z-transformation; two-sample t-test; FDR corrected,network,increased (IBS-D after acupuncture > HCs),93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_02,IBS-D patients after acupuncture vs HCs — increased SMN-DMN,two-sample t-test: IBS-D after acupuncture > HCs,group_comparison,network_ica,arm_IBSD,arm_HC,ICA-based inter-network functional connectivity; Pearson's correlation coefficient; Fisher's z-transformation; two-sample t-test; FDR corrected,network,increased (IBS-D after acupuncture > HCs),93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_03,IBS-D patients after acupuncture vs HCs — decreased RFPN-VAN,two-sample t-test: IBS-D after acupuncture < HCs,group_comparison,network_ica,arm_IBSD,arm_HC,ICA-based inter-network functional connectivity; Pearson's correlation coefficient; Fisher's z-transformation; two-sample t-test; FDR corrected,network,decreased (IBS-D after acupuncture < HCs),93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_04,IBS-D before acupuncture vs HCs — no significant difference,two-sample t-test: IBS-D before acupuncture vs HCs,group_comparison,network_ica,arm_IBSD,arm_HC,ICA-based inter-network functional connectivity; two-sample t-test; FDR corrected,network,no significant difference,93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_05,IBS-D after acupuncture vs before acupuncture — increased DMN-DAN,paired t-test: IBS-D after > before acupuncture,verum_post_gt_pre,network_ica,arm_IBSD,arm_IBSD,ICA-based inter-network functional connectivity; Pearson's correlation coefficient; Fisher's z-transformation; paired t-test; FDR corrected,network,increased (after > before acupuncture),93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_06,IBS-D after acupuncture vs before acupuncture — increased DAN-LFPN,paired t-test: IBS-D after > before acupuncture,verum_post_gt_pre,network_ica,arm_IBSD,arm_IBSD,ICA-based inter-network functional connectivity; Pearson's correlation coefficient; Fisher's z-transformation; paired t-test; FDR corrected,network,increased (after > before acupuncture),93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_07,IBS-D after acupuncture vs before acupuncture — increased DMN-VAN,paired t-test: IBS-D after > before acupuncture,verum_post_gt_pre,network_ica,arm_IBSD,arm_IBSD,ICA-based inter-network functional connectivity; Pearson's correlation coefficient; Fisher's z-transformation; paired t-test; FDR corrected,network,increased (after > before acupuncture),93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_08,Correlation: alteration of DMN-VAN vs changes in HAMA,Pearson correlation analysis,correlation_clinical,correlation_brain_behavior,arm_IBSD,not_applicable,Pearson correlation analysis,network,positive correlation,93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_09,Correlation: alteration of DMN-VAN vs changes in life influence degree,Pearson correlation analysis,correlation_clinical,correlation_brain_behavior,arm_IBSD,not_applicable,Pearson correlation analysis,network,positive correlation,93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34720908,nc_10,Correlation: alteration of DMN-VAN vs changes in IBS-SSS,Pearson correlation analysis,correlation_clinical,correlation_brain_behavior,arm_IBSD,not_applicable,Pearson correlation analysis,network,positive correlation (at boundary of significance threshold),93,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Resting-State Imaging Study
34949986,con_norm1_AAS_TSA,Norm-1 main effects (AAS-TSA),main effect of condition (AAS minus TSA),verum_gt_sham,whole_brain_activation,not_applicable,not_applicable,Linear mixed-effects modeling (LME); mixed-effects analysis in DPABI (V4.1),whole_brain,both increases and decreases,38,Chronic low back pain (CLBP),Frequency-Specific Blood Oxygen Level Dependent Oscillations Associated With Pain Relief From Ankle Acupuncture in Patients With Chronic Low Back Pain
34949986,con_norm2_AAS_TSA,Norm-2 main effects (AAS-TSA),main effect of condition (AAS minus TSA),verum_gt_sham,whole_brain_activation,not_applicable,not_applicable,Linear mixed-effects modeling (LME); mixed-effects analysis in DPABI (V4.1),whole_brain,both increases and decreases,38,Chronic low back pain (CLBP),Frequency-Specific Blood Oxygen Level Dependent Oscillations Associated With Pain Relief From Ankle Acupuncture in Patients With Chronic Low Back Pain
34949986,con_slow5_AAS_TSA,Slow-5 main effects (AAS-TSA),main effect of condition (AAS minus TSA),verum_gt_sham,whole_brain_activation,not_applicable,not_applicable,Linear mixed-effects modeling (LME); mixed-effects analysis in DPABI (V4.1),whole_brain,both increases and decreases,38,Chronic low back pain (CLBP),Frequency-Specific Blood Oxygen Level Dependent Oscillations Associated With Pain Relief From Ankle Acupuncture in Patients With Chronic Low Back Pain
34949986,con_slow4_AAS_TSA,Slow-4 main effects (AAS-TSA),main effect of condition (AAS minus TSA),verum_gt_sham,whole_brain_activation,not_applicable,not_applicable,Linear mixed-effects modeling (LME); mixed-effects analysis in DPABI (V4.1),whole_brain,both increases and decreases,38,Chronic low back pain (CLBP),Frequency-Specific Blood Oxygen Level Dependent Oscillations Associated With Pain Relief From Ankle Acupuncture in Patients With Chronic Low Back Pain
34949986,con_slow3_AAS_TSA,Slow-3 main effects (AAS-TSA),main effect of condition (AAS minus TSA),verum_gt_sham,whole_brain_activation,not_applicable,not_applicable,Linear mixed-effects modeling (LME); mixed-effects analysis in DPABI (V4.1),whole_brain,both increases and decreases,38,Chronic low back pain (CLBP),Frequency-Specific Blood Oxygen Level Dependent Oscillations Associated With Pain Relief From Ankle Acupuncture in Patients With Chronic Low Back Pain
34949986,con_slow2_AAS_TSA,Slow-2 main effects (AAS-TSA),main effect of condition (AAS minus TSA),verum_gt_sham,whole_brain_activation,not_applicable,not_applicable,Linear mixed-effects modeling (LME); mixed-effects analysis in DPABI (V4.1),whole_brain,both increases and decreases,38,Chronic low back pain (CLBP),Frequency-Specific Blood Oxygen Level Dependent Oscillations Associated With Pain Relief From Ankle Acupuncture in Patients With Chronic Low Back Pain
