pmid,arm_id,arm_type,outcome_measure,outcome_domain,scale_name,timepoint_raw,timepoint_class,reporting_format,value_exact,parse_method,parsed_format,mean,sd,se,median,iqr_low,iqr_high,ci_low,ci_high,count,pct,pre_mean,pre_sd,post_mean,post_sd,n_analyzed,higher_is_better,scale_min,scale_max,instrument_matched,disease_condition,healthy_volunteers,within_group_change,between_group_difference,effect_size_reported,p_value
36051643,VA,verum_acupuncture,VAS scores,pain,visual analog scale (VAS),Pre-treatment (Month 0),baseline,mean ± SD,6.18 ± 0.99,regex,mean_sd,6.18,0.99,,,,,,,,,,,,,20.0,False,0.0,10.0,True,Primary dysmenorrhea (PDM),False,not_reported,"T = 0.65, p = 0.52",not_reported,0.52
36051643,VA,verum_acupuncture,VAS scores,pain,visual analog scale (VAS),Post-treatment (Month 3),post,mean ± SD,3.35 ± 1.50,regex,mean_sd,3.35,1.5,,,,,,,,,,,,,20.0,False,0.0,10.0,True,Primary dysmenorrhea (PDM),False,not_reported,not_reported,not_reported,not_reported
36051643,VA,verum_acupuncture,VAS scores post-pre change,pain,visual analog scale (VAS),Post-pre,other,mean ± SD,–2.83 ± 1.57,regex,mean_sd,-2.83,1.57,,,,,,,,,,,,,20.0,False,0.0,10.0,True,Primary dysmenorrhea (PDM),False,significant decrease (p < 0.05),"T = –4.21, p < 0.001",not_reported,< 0.001
36051643,SA,sham_acupuncture,VAS scores,pain,visual analog scale (VAS),Pre-treatment (Month 0),baseline,mean ± SD,5.93 ± 1.21,regex,mean_sd,5.93,1.21,,,,,,,,,,,,,14.0,False,0.0,10.0,True,Primary dysmenorrhea (PDM),False,not_reported,"T = 0.65, p = 0.52",not_reported,0.52
36051643,SA,sham_acupuncture,VAS scores,pain,visual analog scale (VAS),Post-treatment (Month 3),post,mean ± SD,5.39 ± 1.39,regex,mean_sd,5.39,1.39,,,,,,,,,,,,,14.0,False,0.0,10.0,True,Primary dysmenorrhea (PDM),False,no significant change,not_reported,not_reported,not_reported
36051643,SA,sham_acupuncture,VAS scores post-pre change,pain,visual analog scale (VAS),Post-pre,other,mean ± SD,–0.54 ± 1.55,regex,mean_sd,-0.54,1.55,,,,,,,,,,,,,14.0,False,0.0,10.0,True,Primary dysmenorrhea (PDM),False,no significant change (p < 0.05 not met),"T = –4.21, p < 0.001",not_reported,< 0.001
36051643,VA,verum_acupuncture,CMSS-t scores,symptom_severity,Cox Menstrual Symptom Scale-time subscale (CMSS-t),Pre-treatment (Month 0),baseline,mean ± SD,17.85 ± 8.36,regex,mean_sd,17.85,8.36,,,,,,,,,,,,,20.0,False,,,True,Primary dysmenorrhea (PDM),False,not_reported,"T = –0.26, p = 0.80",not_reported,0.80
36051643,VA,verum_acupuncture,CMSS-t scores,symptom_severity,Cox Menstrual Symptom Scale-time subscale (CMSS-t),Post-treatment (Month 3),post,mean ± SD,13.20 ± 7.05,regex,mean_sd,13.2,7.05,,,,,,,,,,,,,20.0,False,,,True,Primary dysmenorrhea (PDM),False,not_reported,not_reported,not_reported,not_reported
36051643,VA,verum_acupuncture,CMSS-t scores post-pre change,symptom_severity,Cox Menstrual Symptom Scale-time subscale (CMSS-t),Post-pre,other,mean ± SD,–4.65 ± 6.68,regex,mean_sd,-4.65,6.68,,,,,,,,,,,,,20.0,False,,,True,Primary dysmenorrhea (PDM),False,significant decrease (p < 0.05),"T = –0.67, p = 0.51",not_reported,0.51
36051643,SA,sham_acupuncture,CMSS-t scores,symptom_severity,Cox Menstrual Symptom Scale-time subscale (CMSS-t),Pre-treatment (Month 0),baseline,mean ± SD,18.50 ± 5.24,regex,mean_sd,18.5,5.24,,,,,,,,,,,,,14.0,False,,,True,Primary dysmenorrhea (PDM),False,not_reported,"T = –0.26, p = 0.80",not_reported,0.80
36051643,SA,sham_acupuncture,CMSS-t scores,symptom_severity,Cox Menstrual Symptom Scale-time subscale (CMSS-t),Post-treatment (Month 3),post,mean ± SD,15.21 ± 5.28,regex,mean_sd,15.21,5.28,,,,,,,,,,,,,14.0,False,,,True,Primary dysmenorrhea (PDM),False,significant decrease (p < 0.05),not_reported,not_reported,not_reported
36051643,SA,sham_acupuncture,CMSS-t scores post-pre change,symptom_severity,Cox Menstrual Symptom Scale-time subscale (CMSS-t),Post-pre,other,mean ± SD,–3.29 ± 4.29,regex,mean_sd,-3.29,4.29,,,,,,,,,,,,,14.0,False,,,True,Primary dysmenorrhea (PDM),False,significant decrease (p < 0.05),"T = –0.67, p = 0.51",not_reported,0.51
36051643,VA,verum_acupuncture,CMSS-s scores,symptom_severity,Cox Menstrual Symptom Scale-severity subscale (CMSS-s),Pre-treatment (Month 0),baseline,mean ± SD,18.50 ± 7.74,regex,mean_sd,18.5,7.74,,,,,,,,,,,,,20.0,False,,,True,Primary dysmenorrhea (PDM),False,not_reported,"T = 1.84, p = 0.07",not_reported,0.07
36051643,VA,verum_acupuncture,CMSS-s scores,symptom_severity,Cox Menstrual Symptom Scale-severity subscale (CMSS-s),Post-treatment (Month 3),post,mean ± SD,12.88 ± 7.19,regex,mean_sd,12.88,7.19,,,,,,,,,,,,,20.0,False,,,True,Primary dysmenorrhea (PDM),False,not_reported,not_reported,not_reported,not_reported
36051643,VA,verum_acupuncture,CMSS-s scores post-pre change,symptom_severity,Cox Menstrual Symptom Scale-severity subscale (CMSS-s),Post-pre,other,mean ± SD,–5.63 ± 7.80,regex,mean_sd,-5.63,7.8,,,,,,,,,,,,,20.0,False,,,True,Primary dysmenorrhea (PDM),False,significant decrease (p < 0.05),"T = –2.24, p = 0.03",not_reported,0.03
36051643,SA,sham_acupuncture,CMSS-s scores,symptom_severity,Cox Menstrual Symptom Scale-severity subscale (CMSS-s),Pre-treatment (Month 0),baseline,mean ± SD,14.43 ± 3.34,regex,mean_sd,14.43,3.34,,,,,,,,,,,,,14.0,False,,,True,Primary dysmenorrhea (PDM),False,not_reported,"T = 1.84, p = 0.07",not_reported,0.07
36051643,SA,sham_acupuncture,CMSS-s scores,symptom_severity,Cox Menstrual Symptom Scale-severity subscale (CMSS-s),Post-treatment (Month 3),post,mean ± SD,14.50 ± 6.37,regex,mean_sd,14.5,6.37,,,,,,,,,,,,,14.0,False,,,True,Primary dysmenorrhea (PDM),False,no significant change,not_reported,not_reported,not_reported
36051643,SA,sham_acupuncture,CMSS-s scores post-pre change,symptom_severity,Cox Menstrual Symptom Scale-severity subscale (CMSS-s),Post-pre,other,mean ± SD,0.07 ± 6.49,regex,mean_sd,0.07,6.49,,,,,,,,,,,,,14.0,False,,,True,Primary dysmenorrhea (PDM),False,no significant change,"T = –2.24, p = 0.03",not_reported,0.03
36051643,VA,verum_acupuncture,SAS scores,mood,Zung Self-Rating Anxiety Scale (SAS),Pre-treatment (Month 0),baseline,mean ± SD,41.88 ± 4.77,regex,mean_sd,41.88,4.77,,,,,,,,,,,,,20.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,not_reported,"T = 0.54, p = 0.59",not_reported,0.59
36051643,VA,verum_acupuncture,SAS scores,mood,Zung Self-Rating Anxiety Scale (SAS),Post-treatment (Month 3),post,mean ± SD,35.44 ± 4.12,regex,mean_sd,35.44,4.12,,,,,,,,,,,,,20.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,not_reported,not_reported,not_reported,not_reported
36051643,VA,verum_acupuncture,SAS scores post-pre change,mood,Zung Self-Rating Anxiety Scale (SAS),Post-pre,other,mean ± SD,–6.44 ± 4.65,regex,mean_sd,-6.44,4.65,,,,,,,,,,,,,20.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,significant decrease (p < 0.05),"T = –1.63, p = 0.11",not_reported,0.11
36051643,SA,sham_acupuncture,SAS scores,mood,Zung Self-Rating Anxiety Scale (SAS),Pre-treatment (Month 0),baseline,mean ± SD,40.68 ± 8.08,regex,mean_sd,40.68,8.08,,,,,,,,,,,,,14.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,not_reported,"T = 0.54, p = 0.59",not_reported,0.59
36051643,SA,sham_acupuncture,SAS scores,mood,Zung Self-Rating Anxiety Scale (SAS),Post-treatment (Month 3),post,mean ± SD,37.38 ± 5.48,regex,mean_sd,37.38,5.48,,,,,,,,,,,,,14.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,no significant change,not_reported,not_reported,not_reported
36051643,SA,sham_acupuncture,SAS scores post-pre change,mood,Zung Self-Rating Anxiety Scale (SAS),Post-pre,other,mean ± SD,–3.30 ± 6.57,regex,mean_sd,-3.3,6.57,,,,,,,,,,,,,14.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,no significant change,"T = –1.63, p = 0.11",not_reported,0.11
36051643,VA,verum_acupuncture,SDS scores,mood,Zung Self-Rating Depression Scale (SDS),Pre-treatment (Month 0),baseline,mean ± SD,40.36 ± 6.61,regex,mean_sd,40.36,6.61,,,,,,,,,,,,,20.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,not_reported,"T = –1.35, p = 0.19",not_reported,0.19
36051643,VA,verum_acupuncture,SDS scores,mood,Zung Self-Rating Depression Scale (SDS),Post-treatment (Month 3),post,mean ± SD,31.75 ± 5.34,regex,mean_sd,31.75,5.34,,,,,,,,,,,,,20.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,not_reported,not_reported,not_reported,not_reported
36051643,VA,verum_acupuncture,SDS scores post-pre change,mood,Zung Self-Rating Depression Scale (SDS),Post-pre,other,mean ± SD,–14.96 ± 4.27,regex,mean_sd,-14.96,4.27,,,,,,,,,,,,,20.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,significant decrease (p < 0.05),"T = –1.36, p = 0.18",not_reported,0.18
36051643,SA,sham_acupuncture,SDS scores,mood,Zung Self-Rating Depression Scale (SDS),Pre-treatment (Month 0),baseline,mean ± SD,44.20 ± 9.97,regex,mean_sd,44.2,9.97,,,,,,,,,,,,,14.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,not_reported,"T = –1.35, p = 0.19",not_reported,0.19
36051643,SA,sham_acupuncture,SDS scores,mood,Zung Self-Rating Depression Scale (SDS),Post-treatment (Month 3),post,mean ± SD,39.91 ± 7.26,regex,mean_sd,39.91,7.26,,,,,,,,,,,,,14.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,not_reported,not_reported,not_reported,not_reported
36051643,SA,sham_acupuncture,SDS scores post-pre change,mood,Zung Self-Rating Depression Scale (SDS),Post-pre,other,mean ± SD,–12.27 ± 7.30,regex,mean_sd,-12.27,7.3,,,,,,,,,,,,,14.0,False,20.0,80.0,True,Primary dysmenorrhea (PDM),False,approach significant change (p = 0.05),"T = –1.36, p = 0.18",not_reported,0.18
36102803,arm_exp,verum_acupuncture,Visual Analog Scale (VAS) pain score before intervention,pain,Visual Analog Scale (VAS),before analgesic electrical stimulation modulation,other,mean ± SD,69 ± 6 mm,regex,mean_sd,69.0,6.0,,,,,,,,,,,,,16.0,False,0.0,10.0,True,myofascial pain syndrome (MPS) / myofasciitis,False,not_reported,not_reported,not_reported,not_reported
36102803,arm_exp,verum_acupuncture,Visual Analog Scale (VAS) pain score after intervention,pain,Visual Analog Scale (VAS),after analgesic electrical stimulation modulation,other,mean ± SD,21 ± 3 mm,regex,mean_sd,21.0,3.0,,,,,,,,,,,,,16.0,False,0.0,10.0,True,myofascial pain syndrome (MPS) / myofasciitis,False,significant difference before and after modulation (P < .001),not_reported,not_reported,P < .001
36102803,arm_ctrl,waitlist,Visual Analog Scale (VAS) pain score before rest,pain,Visual Analog Scale (VAS),before rest,other,mean ± SD,61 ± 3 mm,regex,mean_sd,61.0,3.0,,,,,,,,,,,,,15.0,False,0.0,10.0,True,myofascial pain syndrome (MPS) / myofasciitis,False,not_reported,not_reported,not_reported,not_reported
36102803,arm_ctrl,waitlist,Visual Analog Scale (VAS) pain score after rest,pain,Visual Analog Scale (VAS),after rest,other,mean ± SD,55 ± 4 mm,regex,mean_sd,55.0,4.0,,,,,,,,,,,,,15.0,False,0.0,10.0,True,myofascial pain syndrome (MPS) / myofasciitis,False,no significant difference in the control group,not_reported,not_reported,not significant
36102803,not_applicable,,VAS score comparison between groups before treatment/rest,pain,Visual Analog Scale (VAS),before treatment/rest,baseline,other,not_reported,unparseable,,,,,,,,,,,,,,,,31.0,False,0.0,10.0,True,myofascial pain syndrome (MPS) / myofasciitis,False,not_reported,"t = -0.352, P = .676 (no significant difference)",not_reported,.676
36102803,not_applicable,,VAS score comparison between groups after treatment/rest,pain,Visual Analog Scale (VAS),after treatment/rest,post,other,not_reported,unparseable,,,,,,,,,,,,,,,,31.0,False,0.0,10.0,True,myofascial pain syndrome (MPS) / myofasciitis,False,not_reported,"t = -2.956, P = .001 (significant difference)",not_reported,.001
36530615,arm_PSA,other,Listening,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,25 ± 9,regex,mean_sd,25.0,9.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,Repeating,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,20 ± 7,regex,mean_sd,20.0,7.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,Speaking,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,11 ± 10,regex,mean_sd,11.0,10.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,Reading aloud,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,17 ± 7,regex,mean_sd,17.0,7.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,Reading comprehension,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,21 ± 10,regex,mean_sd,21.0,10.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,Transcribing,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,3 ± 4,regex,mean_sd,3.0,4.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,Describing,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,2 ± 4,regex,mean_sd,2.0,4.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,Dictating,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,1 ± 2,regex,mean_sd,1.0,2.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,Calculating,function,Chinese Rehabilitation Research Center for Chinese Standard Aphasia Examination (CRRCAE),baseline (clinical characteristics),baseline,mean ± SD,3 ± 4,regex,mean_sd,3.0,4.0,,,,,,,,,,,,,12.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530615,arm_PSA,other,BDAE,symptom_severity,Boston Diagnostic Aphasia Examination (BDAE),baseline (clinical characteristics),baseline,mean,2,unparseable,,,,,,,,,,,,,,,,16.0,True,,,True,Post-stroke aphasia (PSA) caused by left hemisphere stroke,True,not_reported,not_reported,not_reported,not_reported
36530635,arm_tinnitus,verum_acupuncture,Tinnitus Handicap Inventory (THI) total score,symptom_severity,Tinnitus Handicap Inventory (THI),pre-acupuncture,baseline,other,not_reported (visible in Figure 2A violin plot only),unparseable,,,,,,,,,,,,,,,,26.0,False,0.0,100.0,True,subjective tinnitus,True,significantly decreased after acupuncture treatment,not_reported,not_reported,p < 0.05
36530635,arm_tinnitus,verum_acupuncture,Tinnitus Handicap Inventory (THI) total score,symptom_severity,Tinnitus Handicap Inventory (THI),post-acupuncture,post,other,not_reported (visible in Figure 2A violin plot only),unparseable,,,,,,,,,,,,,,,,26.0,False,0.0,100.0,True,subjective tinnitus,True,significantly decreased after acupuncture treatment (p < 0.05),not_reported,not_reported,p < 0.05
36530635,arm_tinnitus,verum_acupuncture,Tinnitus Evaluation Questionnaire (TEQ) score,symptom_severity,Tinnitus Evaluation Questionnaire (TEQ),pre-acupuncture,baseline,other,not_reported (visible in Figure 2B violin plot only),unparseable,,,,,,,,,,,,,,,,26.0,,,,False,subjective tinnitus,True,significantly decreased after acupuncture treatment,not_reported,not_reported,p < 0.05
36530635,arm_tinnitus,verum_acupuncture,Tinnitus Evaluation Questionnaire (TEQ) score,symptom_severity,Tinnitus Evaluation Questionnaire (TEQ),post-acupuncture,post,other,not_reported (visible in Figure 2B violin plot only),unparseable,,,,,,,,,,,,,,,,26.0,,,,False,subjective tinnitus,True,significantly decreased after acupuncture treatment (p < 0.05),not_reported,not_reported,p < 0.05
36530635,arm_tinnitus,verum_acupuncture,Visual Analog Scale (VAS) score,symptom_severity,Visual Analog Scale (VAS),pre-acupuncture,baseline,other,not_reported (visible in Figure 2C violin plot only),unparseable,,,,,,,,,,,,,,,,26.0,False,0.0,10.0,True,subjective tinnitus,True,significantly decreased after acupuncture treatment,not_reported,not_reported,p < 0.05
36530635,arm_tinnitus,verum_acupuncture,Visual Analog Scale (VAS) score,symptom_severity,Visual Analog Scale (VAS),post-acupuncture,post,other,not_reported (visible in Figure 2C violin plot only),unparseable,,,,,,,,,,,,,,,,26.0,False,0.0,10.0,True,subjective tinnitus,True,significantly decreased after acupuncture treatment (p < 0.05),not_reported,not_reported,p < 0.05
36744205,arm_patients,verum_acupuncture,Visual Analogue Scale (VAS) for numbness,symptom_severity,Visual Analogue Scale (VAS),Baseline,baseline,mean ± SD,4.38±0.71,regex,mean_sd,4.38,0.71,,,,,,,,,,,,,23.0,False,0.0,10.0,True,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),True,not_reported,not_reported,not_reported,P<0.01
36744205,arm_patients,verum_acupuncture,Visual Analogue Scale (VAS) for numbness,symptom_severity,Visual Analogue Scale (VAS),4th week,other,mean ± SD,1.42±1.41,regex,mean_sd,1.42,1.41,,,,,,,,,,,,,23.0,False,0.0,10.0,True,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),True,decreased from 4.38±0.71 to 1.42±1.41,not_reported,not_reported,P<0.01
36744205,arm_patients,verum_acupuncture,Pearson correlation between t-values of ALFF in L_SMG and VAS score,sensory,VAS,not_reported,other,other,"r = -0.401, P=0.007",unparseable,,,,,,,,,,,,,,,,23.0,False,0.0,10.0,True,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),True,not_reported,not_reported,r = -0.401,P=0.007
36744205,arm_patients,verum_acupuncture,Pearson correlation between t-values of ALFF in L_preCG and VAS score,sensory,VAS,not_reported,other,other,"r = -0.350, P=0.023",unparseable,,,,,,,,,,,,,,,,23.0,False,0.0,10.0,True,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),True,not_reported,not_reported,r = -0.350,P=0.023
36744205,arm_patients,verum_acupuncture,Pearson correlation between t-values of ALFF in L_PHG and VAS score,sensory,VAS,not_reported,other,other,"r = -0.570, P=0.000",unparseable,,,,,,,,,,,,,,,,23.0,False,0.0,10.0,True,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),True,not_reported,not_reported,r = -0.570,P=0.000
36744205,arm_patients,verum_acupuncture,Pearson correlation between t-values of ALFF in R_postCG and VAS score,sensory,VAS,not_reported,other,other,"r = -0.368, P=0.019",unparseable,,,,,,,,,,,,,,,,23.0,False,0.0,10.0,True,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),True,not_reported,not_reported,r = -0.368,P=0.019
36744205,arm_patients,verum_acupuncture,Pearson correlation between z-values of FC between R_MTG and L_SMG and VAS score,sensory,VAS,not_reported,other,other,"r = -0.383, P=0.009",unparseable,,,,,,,,,,,,,,,,23.0,False,0.0,10.0,True,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),True,not_reported,not_reported,r = -0.383,P=0.009
36744205,arm_patients,verum_acupuncture,Pearson correlation between z-values of FC between R_MFG and cerebellum vermis 9 and VAS score,sensory,VAS,not_reported,other,other,"r = -0.528, P=0.000",unparseable,,,,,,,,,,,,,,,,23.0,False,0.0,10.0,True,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),True,not_reported,not_reported,r = -0.528,P=0.000
36890655,arm_VA,verum_acupuncture,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),Baseline,baseline,median [IQR],"4.00 (3.00, 5.00)",regex,median_iqr,4.0,1.4814814814814814,,4.0,3.0,5.0,,,,,,,,,28.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,not_reported
36890655,arm_VA,verum_acupuncture,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),End of treatment (after 2 weeks),post,median [IQR],"2.50 (1.00, 3.00)",regex,median_iqr,2.1666666666666665,1.4814814814814814,,2.5,1.0,3.0,,,,,,,,,28.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,< 0.001
36890655,arm_SA,sham_acupuncture,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),Baseline,baseline,median [IQR],"4.00 (3.00, 5.00)",regex,median_iqr,4.0,1.4814814814814814,,4.0,3.0,5.0,,,,,,,,,32.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,not_reported
36890655,arm_SA,sham_acupuncture,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),End of treatment (after 2 weeks),post,median [IQR],"3.00 (2.00, 3.00)",regex,median_iqr,2.6666666666666665,0.7407407407407407,,3.0,2.0,3.0,,,,,,,,,32.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,< 0.001
36890655,arm_SC,medication,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),Baseline,baseline,median [IQR],"4.00 (3.00, 6.00)",regex,median_iqr,4.333333333333333,2.222222222222222,,4.0,3.0,6.0,,,,,,,,,29.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,not_reported
36890655,arm_SC,medication,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),End of treatment (after 2 weeks),post,median [IQR],"3.00 (1.50, 3.00)",regex,median_iqr,2.5,1.111111111111111,,3.0,1.5,3.0,,,,,,,,,29.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,< 0.001
36890655,arm_PB,placebo,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),Baseline,baseline,median [IQR],"4.00 (3.00, 5.00)",regex,median_iqr,4.0,1.4814814814814814,,4.0,3.0,5.0,,,,,,,,,30.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,not_reported
36890655,arm_PB,placebo,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),End of treatment (after 2 weeks),post,median [IQR],"3.00 (3.00, 4.00)",regex,median_iqr,3.3333333333333335,0.7407407407407407,,3.0,3.0,4.0,,,,,,,,,30.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,0.002
36890655,arm_WL,waitlist,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),Baseline,baseline,median [IQR],"3.00 (3.00, 5.00)",regex,median_iqr,3.6666666666666665,1.4814814814814814,,3.0,3.0,5.0,,,,,,,,,30.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,not_reported
36890655,arm_WL,waitlist,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),End of treatment (after 2 weeks),post,median [IQR],"3.00 (2.00, 3.25)",regex,median_iqr,2.75,0.9259259259259258,,3.0,2.0,3.25,,,,,,,,,30.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,0.001
36890655,arm_AG,verum_acupuncture,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),Baseline,baseline,median [IQR],"4.00 (3.00, 5.00)",regex,median_iqr,4.0,1.4814814814814814,,4.0,3.0,5.0,,,,,,,,,60.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,not_reported
36890655,arm_AG,verum_acupuncture,VAS (Visual Analog Scale),pain,Visual Analog Scale (VAS),End of treatment (after 2 weeks),post,median [IQR],"3.00 (2.00, 3.00)",regex,median_iqr,2.6666666666666665,0.7407407407407407,,3.0,2.0,3.0,,,,,,,,,60.0,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,not_reported,not_reported,< 0.001
36890655,arm_VA,verum_acupuncture,VAS change (End - Baseline),pain,Visual Analog Scale (VAS),End of treatment minus Baseline,baseline,median [IQR],"VA: -2.00 (-3.00, -1.00); SA: -1.25 (-2.75, -0.63)",unparseable,,,,,,,,,,,,,,,,,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,no statistically significant difference between VA and SA (p = 0.181),not_reported,0.181
36890655,arm_SC,medication,VAS change (End - Baseline),pain,Visual Analog Scale (VAS),End of treatment minus Baseline,baseline,median [IQR],"SC: -2.00 (-3.00, -1.00); PB: -1.00 (-2.00, 0.00)",unparseable,,,,,,,,,,,,,,,,,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,statistically significant difference between SC and PB (p = 0.002),not_reported,0.002
36890655,arm_AG,verum_acupuncture,VAS change (End - Baseline),pain,Visual Analog Scale (VAS),End of treatment minus Baseline,baseline,median [IQR],"AG: -2.00 (-3.00, -1.00); SC: -2.00 (-3.00, -1.00)",unparseable,,,,,,,,,,,,,,,,,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,no statistically significant difference between AG and SC (p = 0.609),not_reported,0.609
36890655,arm_AG,verum_acupuncture,VAS change (End - Baseline),pain,Visual Analog Scale (VAS),End of treatment minus Baseline,baseline,median [IQR],"AG: -2.00 (-3.00, -1.00); PB: -1.00 (-2.00, 0.00)",unparseable,,,,,,,,,,,,,,,,,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,statistically significant difference between AG and PB (p = 0.001),not_reported,0.001
36890655,arm_AG,verum_acupuncture,VAS change (End - Baseline),pain,Visual Analog Scale (VAS),End of treatment minus Baseline,baseline,median [IQR],"AG: -2.00 (-3.00, -1.00); WL: -1.00 (-2.00, 0.00)",unparseable,,,,,,,,,,,,,,,,,False,0.0,10.0,True,Knee osteoarthritis (KOA) with knee pain,True,not_reported,statistically significant difference between AG and WL (p = 0.015),not_reported,0.015
